date_extract,topic,url,fail_build,total_articles,match1_url,match2_url_topic_related,total_text_topic_related
2023-08-10 22:05:33,narcotráfico,https://www.eldia.com/,false,193,9,8,0
2023-08-10 22:05:33,narcotráfico,https://www.lacapitalmdp.com/,false,67,3,2,0
2023-08-10 22:05:33,narcotráfico,https://www.clarin.com/,false,181,10,9,0
2023-08-10 22:05:33,narcotráfico,https://www.diarionorte.com/,false,88,3,3,0
2023-08-10 22:05:33,narcotráfico,https://www.diariochaco.com/,false,62,9,8,0
2023-08-10 22:05:33,narcotráfico,https://www.elchubut.com.ar/,false,202,4,4,0
2023-08-10 22:05:33,narcotráfico,https://www.cronica.com.ar/,false,0,0,0,0
2023-08-10 22:05:33,narcotráfico,https://www.puntal.com.ar/,false,52,1,1,0
2023-08-10 22:05:33,narcotráfico,https://www.ellitoral.com.ar/corrientes/,false,19,1,0,0
2023-08-10 22:05:33,narcotráfico,https://www.goyaennoticias.com.ar/,false,0,0,0,0
2023-08-10 22:05:33,narcotráfico,https://www.elcomercial.com.ar/,false,37,6,6,0
2023-08-10 22:05:33,narcotráfico,https://www.expresdiario.com.ar/,false,82,10,8,0
2023-08-10 22:05:33,narcotráfico,https://www.jujuyalmomento.com/,false,56,2,2,0
2023-08-10 22:05:33,narcotráfico,https://www.diariotextual.com/,false,27,1,1,0
2023-08-10 22:05:33,narcotráfico,https://www.infopico.com/,false,59,4,3,0
2023-08-10 22:05:33,narcotráfico,https://www.elindependiente.com.ar/,false,0,0,0,0
2023-08-10 22:05:33,narcotráfico,https://elindependiente.com.ar/secciones/chilecito/,false,0,0,0,0
2023-08-10 22:05:33,narcotráfico,https://diariosanrafael.com.ar/,false,67,4,3,0
2023-08-10 22:05:33,narcotráfico,https://www.primeraedicion.com.ar/,false,66,7,6,0
2023-08-10 22:05:33,narcotráfico,https://www.elterritorio.com.ar/,false,724,19,14,0
2023-08-10 22:05:33,narcotráfico,https://www.lmneuquen.com/,false,176,2,1,0
2023-08-10 22:05:33,narcotráfico,https://www.minutoneuquen.com/,false,66,8,7,0
2023-08-10 22:05:33,narcotráfico,https://www.noticiasdelacosta.com.ar/,false,0,0,0,0
2023-08-10 22:05:33,narcotráfico,https://www.elcordillerano.com.ar/,false,726,27,21,0
2023-08-10 22:05:33,narcotráfico,http://eloranense.com/,false,0,0,0,0
2023-08-10 22:05:33,narcotráfico,https://www.diariodecuyo.com.ar/,false,36,3,3,0
2023-08-10 22:05:33,narcotráfico,https://www.tiempodesanjuan.com/,false,114,8,7,0
2023-08-10 22:05:33,narcotráfico,https://www.eldiariodelarepublica.com/,false,48,2,2,0
2023-08-10 22:05:33,narcotráfico,https://www.diariolaventana.com/,false,0,0,0,0
2023-08-10 22:05:33,narcotráfico,https://www.tiemposur.com.ar/,false,58,3,2,0
2023-08-10 22:05:33,narcotráfico,http://www.vocesyapuntes.com/,false,80,1,0,0
2023-08-10 22:05:33,narcotráfico,https://www.lacapital.com.ar/,false,221,17,12,0
2023-08-10 22:05:33,narcotráfico,https://www.elliberal.com.ar/,false,67,5,4,0
2023-08-10 22:05:33,narcotráfico,https://www.nuevodiarioweb.com.ar/,false,414,19,17,0
2023-08-10 22:05:33,narcotráfico,https://www.eldiariodelfindelmundo.com/,false,25,0,0,0
2023-08-10 22:05:33,narcotráfico,https://www.surenio.com.ar/,false,51,1,0,0
2023-08-10 22:05:33,narcotráfico,https://www.tucumanoticias.com.ar/,false,32,3,2,0
2023-08-10 22:05:33,narcotráfico,https://www.infobae.com/,false,99,7,7,0
2023-08-10 22:05:33,narcotráfico,https://www.pagina12.com.ar/,false,137,4,4,0
2023-08-10 22:05:33,narcotráfico,https://www.cronista.com/,false,534,20,19,0
2023-08-10 22:05:33,narcotráfico,https://www.perfil.com/,false,82,2,1,0
2023-08-10 22:05:33,narcotráfico,https://www.diariopopular.com.ar/,false,72,7,7,0
2023-08-10 22:05:33,narcotráfico,https://www.lavoz.com.ar/,false,7,0,0,0
2023-08-10 22:05:33,narcotráfico,https://www.eldiariodecarlospaz.com.ar/,false,236,15,9,0
2023-08-10 22:05:33,narcotráfico,https://www.lacapital.com.ar/,false,224,17,12,0
2023-08-10 22:05:33,narcotráfico,https://www.rosario3.com/,false,62,4,4,0
2023-08-10 22:05:33,narcotráfico,https://www.elsol.com.ar/,false,45,3,3,0
2023-08-10 22:05:33,narcotráfico,https://www.eltucumano.com/,false,104,4,4,0
2023-08-10 22:05:33,narcotráfico,https://www.eldiaonline.com/,false,60,4,2,0
2023-08-10 22:05:33,narcotráfico,https://www.elentrerios.com/,false,99,4,3,0
2023-08-10 22:05:33,narcotráfico,https://www.analisisdigital.com.ar/,false,98,3,2,0
2023-08-10 22:05:33,narcotráfico,https://www.diarionorte.com/,false,88,3,3,0
2023-08-10 22:05:33,narcotráfico,https://www.chacodiapordia.com/,false,85,4,3,0
2023-08-10 22:05:33,narcotráfico,https://www.ellitoral.com.ar/,false,19,1,0,0
2023-08-10 22:05:33,narcotráfico,https://www.diarioepoca.com/,false,94,6,5,0
2023-08-10 22:05:33,narcotráfico,https://www.lmneuquen.com/,false,176,2,1,0
2023-08-10 22:05:33,narcotráfico,https://www.rionegro.com.ar/,false,27,0,0,0
2023-08-10 22:05:33,narcotráfico,https://www.lmneuquen.com/,false,176,2,1,0
